,GeneID,Essential,Class,Complex,Phenotype,Motif,Chromosome,Function,Localization,add_numerical
2671,AAAJm,?,Major facilitator superfamily proteins (MFS),Translocon,?,PS00446,4,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,4
2672,AAAJm,?,Major facilitator superfamily proteins (MFS),Translocon,?,PS00294,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,4
2673,AAAJm,?,Histones,Translocon,?,PS00434,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,4
2674,AAAJm,?,Histones,Translocon,?,PS00294,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,4
2675,AAAJm,?,Histones,Translocon,?,PS00294,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,4
2676,AAAJm,?,Major facilitator superfamily proteins (MFS),Translocon,?,PS00446,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,4
2677,AAAJm,?,Histones,Translocon,Cell cycle defects,PS00294,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,4
2678,AAAJm,?,Major facilitator superfamily proteins (MFS),Translocon,?,PS00044,4,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,4
2679,AAAJm,?,Histones,Translocon,?,PS01119,4,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,4
2680,AAAJn,Essential,?,,?,PS00434,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2681,AAAJn,Essential,?,,?,PS01119,9,PROTEIN SYNTHESIS,nucleus,9
2682,AAAJn,Essential,?,,?,PS00446,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,9
2683,AAAJn,Essential,?,,?,PS00686,9,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,9
2684,AAAJo,?,?,?,Cell morphology and organelle mutants,PS00136,0,PROTEIN SYNTHESIS,cytoskeleton,0
2685,AAAJo,?,?,?,Carbohydrate and lipid biosynthesis defects,PS00190,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,0
2686,AAAJo,?,?,?,Conditional phenotypes,PS00190,0,PROTEIN SYNTHESIS,cytoskeleton,0
2687,AAAJo,?,?,?,Cell morphology and organelle mutants,PS00343,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
2688,AAAJo,?,?,?,Cell morphology and organelle mutants,PS00190,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
2689,AAAJo,?,?,?,Conditional phenotypes,PS00190,0,METABOLISM,cytoskeleton,0
2690,AAAJo,?,?,?,Carbohydrate and lipid biosynthesis defects,PS00190,0,PROTEIN SYNTHESIS,cytoskeleton,0
2691,AAAJo,?,?,?,Carbohydrate and lipid biosynthesis defects,PS00190,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
2692,AAAJo,?,?,?,Carbohydrate and lipid biosynthesis defects,PS00190,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
2693,AAAJo,?,?,?,Cell morphology and organelle mutants,PS00189,0,METABOLISM,cytoskeleton,0
2694,AAAJo,?,?,?,Stress response defects,PS00190,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,0
2695,AAAJo,?,?,?,Cell morphology and organelle mutants,PS01154,0,METABOLISM,cytoskeleton,0
2696,AAAJo,?,?,?,Carbohydrate and lipid biosynthesis defects,PS00190,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
2697,AAAJo,?,?,?,Stress response defects,PS00190,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,0
2698,AAAJo,?,?,?,Carbohydrate and lipid biosynthesis defects,PS00190,0,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,0
2699,AAAJo,?,?,?,Conditional phenotypes,PS00190,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,0
2700,AAAJp,?,Transcription factors,Intracellular transport complexes,Mating and sporulation defects,PS00824,7,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),plasma membrane,7
2701,AAAJp,?,Transcription factors,Intracellular transport complexes,Stress response defects,PS00824,7,ENERGY,plasma membrane,7
2702,AAAJp,?,Transcription factors,Intracellular transport complexes,Stress response defects,PS00824,7,ENERGY,nucleus,7
2703,AAAJp,?,Transcription factors,Intracellular transport complexes,Mating and sporulation defects,PS00824,7,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,7
2704,AAAJp,?,Transcription factors,Intracellular transport complexes,Cell cycle defects,PS00824,7,ENERGY,plasma membrane,7
2705,AAAJq,Essential,?,Intracellular transport complexes,Cell cycle defects,PS00678,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2706,AAAJq,Essential,?,Intracellular transport complexes,Mating and sporulation defects,PS00678,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2707,AAAJq,Essential,?,Intracellular transport complexes,?,PS00678,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2708,AAAJq,Essential,?,Intracellular transport complexes,Mating and sporulation defects,PS00678,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,11
2709,AAAJq,Essential,?,Intracellular transport complexes,Cell cycle defects,PS00678,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2710,AAAJq,Essential,?,Intracellular transport complexes,Cell cycle defects,PS00678,11,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,11
2711,AAAJq,Essential,?,Intracellular transport complexes,Mating and sporulation defects,PS00678,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2712,AAAJq,Essential,?,Intracellular transport complexes,?,PS00678,11,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,11
2713,AAAJq,Essential,?,Intracellular transport complexes,Mating and sporulation defects,PS00678,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,11
2714,AAAJq,Essential,?,Intracellular transport complexes,Mating and sporulation defects,PS00678,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2715,AAAJr,Non-Essential,Molecular chaperones,?,Mating and sporulation defects,PS00058,6,PROTEIN SYNTHESIS,plasma membrane,6
2716,AAAJr,Non-Essential,ATPases,?,Mating and sporulation defects,PS00783,6,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,plasma membrane,6
2717,AAAJr,Non-Essential,ATPases,?,Mating and sporulation defects,PS00058,6,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,6
2718,AAAJr,Non-Essential,Molecular chaperones,?,Mating and sporulation defects,PS00058,6,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,6
2719,AAAJr,Non-Essential,Molecular chaperones,?,Mating and sporulation defects,PS00402,6,PROTEIN SYNTHESIS,plasma membrane,6
2720,AAAJr,Non-Essential,ATPases,?,Mating and sporulation defects,PS00783,6,PROTEIN SYNTHESIS,plasma membrane,6
2721,AAAJr,Non-Essential,Molecular chaperones,?,Mating and sporulation defects,PS00402,6,PROTEIN SYNTHESIS,plasma membrane,6
2722,AAAJs,Essential,GTP-binding proteins,,Cell cycle defects,PS00446,7,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,7
2723,AAAJs,Essential,Ubiquitin-system proteins,,Cell cycle defects,PS00446,7,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,7
2724,AAAJs,Essential,Ubiquitin-system proteins,,Cell cycle defects,PS00446,7,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",plasma membrane,7
2725,AAAJs,Essential,GTP-binding proteins,,Cell cycle defects,PS00446,7,PROTEIN SYNTHESIS,plasma membrane,7
2726,AAAJs,Essential,GTP-binding proteins,,Cell cycle defects,PS00446,7,PROTEIN SYNTHESIS,plasma membrane,7
2727,AAAJt,Essential,GTP/GDP-exchange factors (GEFs),Proteasome,Mating and sporulation defects,,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",extracellular,4
2728,AAAJt,Essential,GTP/GDP-exchange factors (GEFs),Proteasome,Mating and sporulation defects,,4,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",extracellular,4
2729,AAAJt,Essential,GTP/GDP-exchange factors (GEFs),Serine/threonine phoshpoprotein phosphatase,?,,4,IONIC HOMEOSTASIS,extracellular,4
2730,AAAJt,Essential,GTP/GDP-exchange factors (GEFs),Proteasome,Mating and sporulation defects,,4,ENERGY,extracellular,4
2731,AAAJt,Essential,GTP/GDP-exchange factors (GEFs),Serine/threonine phoshpoprotein phosphatase,Mating and sporulation defects,,4,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,extracellular,4
2732,AAAJu,?,GTP/GDP-exchange factors (GEFs),?,?,PS00824,10,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,10
2733,AAAJu,?,GTP/GDP-exchange factors (GEFs),?,?,PS00824,10,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoplasm,10
2734,AAAJv,Non-Essential,?,Translation complexes,Cell cycle defects,PS01119,3,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,3
2735,AAAJv,Non-Essential,?,Translation complexes,Cell cycle defects,PS01030,3,PROTEIN DESTINATION,cytoplasm,3
2736,AAAJv,Non-Essential,?,Translation complexes,Cell cycle defects,PS00125,3,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,3
2737,AAAJw,Non-Essential,?,,?,PS00824,14,PROTEIN DESTINATION,cytoplasm,14
2738,AAAJw,Non-Essential,?,,?,PS00824,14,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,14
2739,AAAJw,Non-Essential,?,,?,PS00824,14,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,14
2740,AAAJw,Non-Essential,?,,?,PS00824,14,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,14
2741,AAAJw,Non-Essential,?,,Mating and sporulation defects,PS00824,14,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,14
2742,AAAJx,Non-Essential,?,Chaperonine containing T-complex TRiC (TCP RING Complex),Mating and sporulation defects,PS00344,11,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus,11
2743,AAAJx,Non-Essential,?,Chaperonine containing T-complex TRiC (TCP RING Complex),Mating and sporulation defects,PS00123,11,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus,11
2744,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Conditional phenotypes,,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2745,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Sensitivity to antibiotics,,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2746,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Conditional phenotypes,,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2747,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Sensitivity to aminoacid analogs and other drugs,,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2748,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Conditional phenotypes,,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2749,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Carbohydrate and lipid biosynthesis defects,,9,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",cytoskeleton,9
2750,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Conditional phenotypes,,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,9
2751,AAAJy,Essential,?,"H+-transporting ATPase, vacuolar",Carbohydrate and lipid biosynthesis defects,,9,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoskeleton,9
2752,AAAJz,Essential,?,Intracellular transport complexes,Mating and sporulation defects,,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,5
2753,AAAJz,Essential,?,Nucleosomal protein complex,Mating and sporulation defects,,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,5
2754,AAAJz,Essential,?,Intracellular transport complexes,Mating and sporulation defects,,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,5
2755,AAAJz,Essential,?,Intracellular transport complexes,Mating and sporulation defects,,5,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",ER,5
2756,AAAJz,Essential,?,Nucleosomal protein complex,Mating and sporulation defects,,5,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),ER,5
2757,AAAKA,?,Peptidyl-Prolyl-Isomerases,Cytoskeleton,Conditional phenotypes,PS00783,15,PROTEIN SYNTHESIS,plasma membrane,15
2758,AAAKA,?,Adaptins,Cytoskeleton,Cell morphology and organelle mutants,PS01089,15,PROTEIN DESTINATION,plasma membrane,15
2759,AAAKB,Essential,Peptidyl-Prolyl-Isomerases,?,?,PS00959,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,13
2760,AAAKB,Essential,Peptidyl-Prolyl-Isomerases,?,?,PS00627,13,PROTEIN SYNTHESIS,cytoplasm,13
2761,AAAKB,Essential,Peptidyl-Prolyl-Isomerases,?,?,PS00627,13,PROTEIN SYNTHESIS,cytoplasm,13
2762,AAAKB,Essential,Peptidyl-Prolyl-Isomerases,?,Mating and sporulation defects,PS00959,13,PROTEIN SYNTHESIS,cytoplasm,13
2763,AAAKB,Essential,Peptidyl-Prolyl-Isomerases,?,?,PS00959,13,PROTEIN SYNTHESIS,cytoplasm,13
2764,AAAKC,Non-Essential,?,Cytoskeleton,Sensitivity to immunosuppressants,PS00816,12,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,12
2765,AAAKC,Non-Essential,?,Cytoskeleton,Sensitivity to immunosuppressants,PS00816,12,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,12
2766,AAAKC,Non-Essential,?,Cytoskeleton,Sensitivity to aminoacid analogs and other drugs,PS00815,12,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoplasm,12
2767,AAAKC,Non-Essential,?,Cytoskeleton,Sensitivity to immunosuppressants,PS00816,12,PROTEIN DESTINATION,cytoskeleton,12
2768,AAAKC,Non-Essential,?,Cytoskeleton,Sensitivity to antibiotics,PS00816,12,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,12
2769,AAAKC,Non-Essential,?,Cytoskeleton,Sensitivity to immunosuppressants,PS00816,12,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,12
2770,AAAKD,Essential,?,Transcription complexes/Transcriptosome,Stress response defects,PS00123,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoplasm,1
2771,AAAKD,Essential,?,Transcription complexes/Transcriptosome,Stress response defects,PS00123,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
2772,AAAKD,Essential,?,Transcription complexes/Transcriptosome,Stress response defects,PS00123,1,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,1
2773,AAAKE,Essential,?,Translation complexes,Cell cycle defects,PS00108,7,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,cytoskeleton,7
2774,AAAKE,Essential,?,Translation complexes,Cell cycle defects,PS00108,7,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,7
2775,AAAKE,Essential,?,Translation complexes,Cell cycle defects,PS00463,7,PROTEIN SYNTHESIS,cytoskeleton,7
2776,AAAKF,Essential,Motorproteins,,?,PS00741,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,13
2777,AAAKF,Essential,Motorproteins,,Mating and sporulation defects,PS00741,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,13
2778,AAAKF,Essential,Motorproteins,,?,PS00741,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,13
2779,AAAKF,Essential,Molecular chaperones,,?,PS00741,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,13
2780,AAAKG,Non-Essential,GTP/GDP dissociation inhibitors (GDIs),?,Conditional phenotypes,PS00637,1,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,plasma membrane,1
2781,AAAKG,Non-Essential,GTP/GDP dissociation inhibitors (GDIs),?,Conditional phenotypes,PS01257,1,PROTEIN SYNTHESIS,plasma membrane,1
2782,AAAKG,Essential,GTP/GDP dissociation inhibitors (GDIs),?,Conditional phenotypes,PS01257,1,PROTEIN SYNTHESIS,plasma membrane,1
2783,AAAKH,Essential,Proteases,?,Conditional phenotypes,PS00825,13,PROTEIN SYNTHESIS,nucleus,13
2784,AAAKH,Essential,Proteases,?,Cell morphology and organelle mutants,PS00825,13,PROTEIN DESTINATION,nucleus,13
2785,AAAKH,Essential,Proteases,?,Cell morphology and organelle mutants,PS00825,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",nucleus,13
2786,AAAKH,Essential,Proteases,?,Conditional phenotypes,PS00825,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,13
2787,AAAKI,Essential,ATPases,Intracellular transport complexes,Sensitivity to antibiotics,PS00685,15,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,15
2788,AAAKI,Essential,ATPases,Intracellular transport complexes,Sensitivity to antibiotics,PS00685,15,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,15
2789,AAAKI,Essential,ATPases,Intracellular transport complexes,Sensitivity to antibiotics,PS00685,15,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,15
2790,AAAKJ,Non-Essential,?,Proteasome,?,,6,PROTEIN SYNTHESIS,nucleus,6
2791,AAAKJ,Non-Essential,?,Proteasome,?,,6,PROTEIN SYNTHESIS,nucleus,6
2792,AAAKK,Non-Essential,Adaptins,Histone acetyltransferase complexes,Sensitivity to aminoacid analogs and other drugs,PS00463,0,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,golgi,0
2793,AAAKK,Non-Essential,Unknown,Histone acetyltransferase complexes,Cell cycle defects,PS00017,0,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",golgi,0
2794,AAAKK,Non-Essential,Adaptins,Histone acetyltransferase complexes,Cell cycle defects,PS00017,0,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",ER,0
2795,AAAKK,Non-Essential,Adaptins,Histone acetyltransferase complexes,Cell morphology and organelle mutants,PS00017,0,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,ER,0
2796,AAAKK,Non-Essential,Adaptins,Histone acetyltransferase complexes,Cell morphology and organelle mutants,PS00463,0,PROTEIN DESTINATION,ER,0
2797,AAAKL,Non-Essential,,Cytoskeleton,,PS00217,2,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",nucleus,2
2798,AAAKL,Non-Essential,,Cytoskeleton,,PS00217,2,CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle),nucleus,2
2799,AAAKL,Non-Essential,,Cytoskeleton,,PS00217,2,METABOLISM,nucleus,2
2800,AAAKL,Non-Essential,,Cyclin-CDK (Cyclin-dependent kinases) complexes,,PS00217,2,ENERGY,nucleus,2
2801,AAAKL,Non-Essential,,Cytoskeleton,,PS00217,2,CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle),nucleus,2
2802,AAAKL,Non-Essential,,Cytoskeleton,,PS00217,2,CELLULAR BIOGENESIS (proteins are not localized to the corresponding organelle),nucleus,2
2803,AAAKM,Essential,?,cAMP-dependent protein kinase,?,PS00340,10,METABOLISM,nucleus,10
2804,AAAKM,Essential,?,cAMP-dependent protein kinase,Mating and sporulation defects,PS00019,10,METABOLISM,nucleus,10
2805,AAAKM,Essential,?,cAMP-dependent protein kinase,?,PS00333,10,METABOLISM,nucleus,10
2806,AAAKM,Essential,?,cAMP-dependent protein kinase,Mating and sporulation defects,PS00333,10,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoskeleton,10
2807,AAAKM,Essential,?,cAMP-dependent protein kinase,Mating and sporulation defects,PS01067,10,METABOLISM,nucleus,10
2808,AAAKM,Essential,?,cAMP-dependent protein kinase,?,PS00333,10,METABOLISM,nucleus,10
2809,AAAKM,Essential,?,cAMP-dependent protein kinase,Mating and sporulation defects,PS00333,10,PROTEIN SYNTHESIS,cytoskeleton,10
2810,AAAKN,Non-Essential,Nucleases,,?,PS00565,15,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoplasm,15
2811,AAAKN,Non-Essential,Nucleases,,?,PS00469,15,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,15
2812,AAAKO,Essential,?,Transcription complexes/Transcriptosome,Mating and sporulation defects,PS00433,13,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,13
2813,AAAKO,Essential,?,Transcription complexes/Transcriptosome,Mating and sporulation defects,PS00433,13,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,13
2814,AAAKP,Essential,?,Translation complexes,Mating and sporulation defects,PS00125,2,PROTEIN SYNTHESIS,nucleus,2
2815,AAAKP,Essential,?,Translation complexes,Mating and sporulation defects,PS00125,2,PROTEIN SYNTHESIS,nucleus,2
2816,AAAKQ,Essential,?,?,?,PS00720,0,PROTEIN SYNTHESIS,cytoskeleton,0
2817,AAAKQ,Essential,?,?,Mating and sporulation defects,PS00720,0,PROTEIN SYNTHESIS,nucleus,0
2818,AAAKQ,Essential,?,?,?,PS00720,0,PROTEIN SYNTHESIS,nucleus,0
2819,AAAKR,Non-Essential,GTPase activating proteins (GAPs),Cytoskeleton,Mating and sporulation defects,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2820,AAAKR,Non-Essential,GTPase activating proteins (GAPs),Cytoskeleton,Mating and sporulation defects,PS00991,9,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",cytoskeleton,9
2821,AAAKR,Non-Essential,GTPase activating proteins (GAPs),Cytoskeleton,Mating and sporulation defects,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2822,AAAKR,Non-Essential,GTPase activating proteins (GAPs),Cytoskeleton,Mating and sporulation defects,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2823,AAAKR,Non-Essential,GTPase activating proteins (GAPs),Cytoskeleton,Mating and sporulation defects,PS00991,9,PROTEIN SYNTHESIS,cytoskeleton,9
2824,AAAKR,Non-Essential,GTPase activating proteins (GAPs),Cytoskeleton,Mating and sporulation defects,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2825,AAAKS,Essential,ATPases,,Stress response defects,PS00685,1,TRANSCRIPTION,golgi,1
2826,AAAKS,Essential,ATPases,,Stress response defects,PS00685,1,PROTEIN DESTINATION,golgi,1
2827,AAAKS,Essential,ATPases,,Stress response defects,PS00685,1,TRANSCRIPTION,golgi,1
2828,AAAKS,Essential,ATPases,,Stress response defects,PS00685,1,TRANSCRIPTION,golgi,1
2829,AAAKS,Essential,ATPases,,Mating and sporulation defects,PS00685,1,TRANSCRIPTION,golgi,1
2830,AAAKS,Essential,ATPases,,Cell cycle defects,PS00685,1,TRANSCRIPTION,golgi,1
2831,AAAKS,Essential,ATPases,,Conditional phenotypes,PS00685,1,TRANSCRIPTION,golgi,1
2832,AAAKS,Essential,ATPases,,Mating and sporulation defects,PS00685,1,TRANSCRIPTION,golgi,1
2833,AAAKS,Essential,ATPases,,Conditional phenotypes,PS00685,1,"CELL GROWTH, CELL DIVISION AND DNA SYNTHESIS",golgi,1
2834,AAAKS,Essential,ATPases,,Stress response defects,PS00685,1,METABOLISM,golgi,1
2835,AAAKS,Essential,ATPases,,Cell morphology and organelle mutants,PS00685,1,PROTEIN SYNTHESIS,golgi,1
2836,AAAKS,Essential,ATPases,,Conditional phenotypes,PS00685,1,"CELL RESCUE, DEFENSE, CELL DEATH AND AGEING",golgi,1
2837,AAAKT,Essential,Peptidyl-Prolyl-Isomerases,,Nucleic acid metabolism defects,PS00824,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2838,AAAKT,Essential,Peptidyl-Prolyl-Isomerases,,Nucleic acid metabolism defects,PS00824,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2839,AAAKT,Essential,Peptidyl-Prolyl-Isomerases,,Nucleic acid metabolism defects,PS00824,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2840,AAAKT,Essential,Peptidyl-Prolyl-Isomerases,,Nucleic acid metabolism defects,PS00824,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2841,AAAKT,Essential,Peptidyl-Prolyl-Isomerases,,Nucleic acid metabolism defects,PS00824,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,9
2842,AAAKT,Essential,Peptidyl-Prolyl-Isomerases,,Nucleic acid metabolism defects,PS00824,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2843,AAAKT,Essential,Peptidyl-Prolyl-Isomerases,,Nucleic acid metabolism defects,PS00824,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2844,AAAKU,Essential,?,Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,9
2845,AAAKU,Essential,?,Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,9
2846,AAAKU,Essential,?,Cyclin-CDK (Cyclin-dependent kinases) complexes,Mating and sporulation defects,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,9
2847,AAAKU,Essential,?,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,9
2848,AAAKU,Essential,?,Cyclin-CDK (Cyclin-dependent kinases) complexes,?,PS00991,9,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoplasm,9
2849,AAAKV,Essential,?,,Sensitivity to aminoacid analogs and other drugs,PS00063,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),cytoskeleton,11
2850,AAAKV,Essential,?,,"Auxotrophies, carbon and",PS00063,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2851,AAAKV,Essential,?,,Unknown,PS00063,11,CELLULAR TRANSPORT AND TRANSPORTMECHANISMS,nucleus,11
2852,AAAKV,Essential,?,,Unknown,PS00063,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
2853,AAAKV,Essential,?,,Unknown,PS00063,11,CELLULAR COMMUNICATION/SIGNAL TRANSDUCTION,cytoskeleton,11
2854,AAAKV,Essential,?,,Carbohydrate and lipid biosynthesis defects,PS00063,11,CELLULAR ORGANIZATION (proteins are localized to the corresponding organelle),nucleus,11
